step,time_s,dt_s,topology,topology_confidence,topology_evidence,topology_status,head_count,head_position_m,head_velocity_m_s,bridge_status,roi_definition,roi_status,roi_cell_count,roi_volume_m3,roi_centroid_r_m,roi_centroid_z_m,roi_r_min_m,roi_r_max_m,roi_z_min_m,roi_z_max_m,electrode_distance_m,Ek_V_m,gas,pressure_Pa,temperature_K,Ek_semantics,E0_source,E0_max_V_m,E0_mean_V_m,E0_p95_V_m,eta_0_max,eta_0_mean,eta_0_p95,E_peak_V_m,E_peak_time_s,E_peak_r_m,E_peak_z_m,eta_peak,ne_at_E_peak_m3,ne_peak_m3,nu_i_at_E_peak_s_1,mu_e_at_E_peak_m2_V_s,tau_i_at_E_peak_s,tau_i_at_ne_peak_s,tau_i_min_s,tau_i_median_s,tau_i_p95_s,sigma_e_at_E_peak_S_m,sigma_e_at_ne_peak_S_m,sigma_e_peak_S_m,sigma_e_median_S_m,sigma_e_p95_S_m,tau_M_at_E_peak_s,tau_M_at_ne_peak_s,tau_M_min_s,tau_M_median_s,tau_M_p95_s,Pi_RF_at_E_peak,Pi_RF_at_ne_peak,Pi_RF_min,Pi_RF_median,Pi_RF_p95,N_tau_i_at_E_peak,N_tau_M_at_E_peak,tau_i_resolution_status,tau_M_resolution_status,current_moment_r_A_m,current_moment_z_A_m
1,1.0000000000000001e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,PENDING_CONTIGUOUS_CONFIRMATION,1,6.2993514213097393e-05,nan,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.213904489,1.0000000000000001e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687196662888,2786383867697307,2786383867697307,165445996529.35922,0.033425103355679803,6.044268347240092e-12,6.044268347240092e-12,6.044268347240092e-12,1.1868172274757831e-11,1.7109685809523795e-11,1.4921899120114275e-05,1.4921899120114275e-05,1.4921899120114275e-05,1.0278123479185588e-05,1.4457521556021406e-05,5.9336869533347936e-07,5.9336869533347936e-07,5.9336869533347936e-07,1.0824175032132046e-06,1.5225614303049574e-06,98170.475108773229,98170.475108773229,88823.171069702192,93496.823089237703,97703.109906819678,6044.2683472400913,593368695.33347929,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9507462137225761e-15,-1.9962859733388849e-13
2,2.0000000000000002e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2994218455247151e-05,704242.14975773648,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.206941899,2.0000000000000002e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687170220378,2786746622635662,2786746622635662,165445996441.87637,0.033425103356668671,6.0442683504361184e-12,6.0442683504361184e-12,6.0442683504361184e-12,1.186817227641315e-11,1.7109685809792477e-11,1.4923841779160089e-05,1.4923841779160089e-05,1.4923841779160089e-05,1.0278592784742149e-05,1.4459316879718295e-05,5.932914556333706e-07,5.932914556333706e-07,5.932914556333706e-07,1.0825189269642226e-06,1.5228236511619895e-06,98157.696057714289,98157.696057714289,88839.002292039266,93498.349174876785,97691.761369430533,6044.2683504361175,593291455.63337052,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9511072120932732e-15,-1.996929404542659e-13
3,3.0000000000000002e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2994922397486557e-05,703942.23940619174,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.199978739,3.0000000000000002e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687143775718,2787109267473528,2787109267473528,165445996354.3862,0.033425103357657616,6.0442683536324129e-12,6.0442683536324129e-12,6.0442683536324129e-12,1.1868172278064839e-11,1.7109685810054024e-11,1.4925783848585788e-05,1.4925783848585788e-05,1.4925783848585788e-05,1.0279061807068447e-05,1.4461111644434053e-05,5.9321425947347696e-07,5.9321425947347696e-07,5.9321425947347696e-07,1.0826204191830337e-06,1.5230859629216349e-06,98144.924210218771,98144.924210218771,88854.838793351824,93499.881501785305,97680.419939375424,6044.2683536324121,593214259.47347689,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9514681387270606e-15,-1.9975729158190479e-13
4,4.0000000000000003e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2995626040001986e-05,703642.5154290006,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.193015043,4.0000000000000003e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687117328998,2787471802183506.5,2787471802183506.5,165445996266.88937,0.033425103358646631,6.0442683568289498e-12,6.0442683568289498e-12,6.0442683568289498e-12,1.1868172279712877e-11,1.7109685810308408e-11,1.4927725328244642e-05,1.4927725328244642e-05,1.4927725328244642e-05,1.0279530546116847e-05,1.4462905850031861e-05,5.9313710683348763e-07,5.9313710683348763e-07,5.9313710683348763e-07,1.0827219798755475e-06,1.5233483656134017e-06,98132.159562926754,98132.159562926754,88870.680575456034,93501.420069191401,97669.085613553223,6044.2683568289494,593137106.83348763,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9518289935977139e-15,-1.9982165071519336e-13
5,5.0000000000000008e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2996329382983526e-05,703342.98153955501,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.186050765,5.0000000000000008e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687090880074,2787834226738204.5,2787834226738204.5,165445996179.38531,0.033425103359635742,6.0442683600257516e-12,6.0442683600257516e-12,6.0442683600257516e-12,1.1868172281357293e-11,1.7109685810555677e-11,1.4929666217989966e-05,1.4929666217989966e-05,1.4929666217989966e-05,1.0279999001839742e-05,1.4464699496374942e-05,5.9305999769310793e-07,5.9305999769310793e-07,5.9305999769310793e-07,1.0828236090476863e-06,1.5236108592668067e-06,98119.402112480195,98119.402112480195,88886.527640168293,93502.964876324244,97657.758388864604,6044.2683600257515,593059997.69310784,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9521897766790608e-15,-1.9988601785251817e-13
6,6.0000000000000013e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2997032426616913e-05,703043.63338749448,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.179017536,6.0000000000000013e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687064169299,2788196541110237,2788196541110237,165445996091.0148,0.033425103360634645,6.0442683632542069e-12,6.0442683632542069e-12,6.0442683632542069e-12,1.1868172283165655e-11,1.7109685811085958e-11,1.4931606517679437e-05,1.4931606517679437e-05,1.4931606517679437e-05,1.0280467174195044e-05,1.4466492583330997e-05,5.9298293203188793e-07,5.9298293203188793e-07,5.9298293203188793e-07,1.0829253067043663e-06,1.523873443909597e-06,98106.651854986238,98106.651854986238,88902.379987673994,93504.515921330109,97646.438261620628,6044.2683632542066,592982932.03188789,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9525461911788612e-15,-1.9994996477656238e-13
7,7.0000000000000017e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2997735171091938e-05,702744.47502502415,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.172052659,7.0000000000000017e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687037718102,2788558745272221.5,2788558745272221.5,165445996003.5032,0.033425103361623833,6.0442683664512842e-12,6.0442683664512842e-12,6.0442683664512842e-12,1.1868172284801571e-11,1.7109685811316828e-11,1.4933546227157698e-05,1.4933546227157698e-05,1.4933546227157698e-05,1.028093506312405e-05,1.4468285110754334e-05,5.9290590982991305e-07,5.9290590982991305e-07,5.9290590982991305e-07,1.0830270728535962e-06,1.5241361195749111e-06,98093.908788173227,98093.908788173227,88918.237623067762,93506.073205620487,97635.125229917947,6044.2683664512833,592905909.82991302,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9529068604811166e-15,-2.0001435091296456e-13
8,8.0000000000000022e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2998437616451779e-05,702445.35984090529,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.165087201,8.0000000000000022e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.4913687011264702,2788920839196788,2788920839196788,165445995915.98413,0.033425103362613104,6.0442683696486345e-12,6.0442683696486345e-12,6.0442683696486345e-12,1.1868172286433876e-11,1.7109685811540594e-11,1.4935485346282554e-05,1.4935485346282554e-05,1.4935485346282554e-05,1.0281402668583802e-05,1.4470077078512679e-05,5.9282893106676375e-07,5.9282893106676375e-07,5.9282893106676375e-07,1.0831289075005819e-06,1.5243988862910178e-06,98081.172908149034,98081.172908149034,88934.100546554866,93507.636727351957,97623.819290069325,6044.2683696486338,592828931.06676376,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9532674579125639e-15,-2.0007874504835799e-13
9,9.0000000000000027e-15,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2999139762932413e-05,702146.48063338932,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.158121206,9.0000000000000027e-15,3.3333333333333337e-06,6.5624999999999996e-05,8.491368698480926,2789282822856570.5,2789282822856570.5,165445995828.45853,0.033425103363602458,6.0442683728462232e-12,6.0442683728462232e-12,6.0442683728462232e-12,1.1868172288062554e-11,1.710968581175725e-11,1.4937423874907451e-05,1.4937423874907451e-05,1.4937423874907451e-05,1.0281869990526728e-05,1.4471868486469379e-05,5.9275199572221141e-07,5.9275199572221141e-07,5.9275199572221141e-07,1.0832308106513059e-06,1.5246617440874906e-06,98068.444211567446,98068.444211567446,88949.968759954994,93509.206485761213,97612.52043898683,6044.2683728462225,592751995.72221136,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9536279834471854e-15,-2.0014314718112018e-13
10,1.0000000000000003e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.2999841610749378e-05,701847.81696526532,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.151154689,1.0000000000000003e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686958351846,2789644696224210,2789644696224210,165445995740.92627,0.033425103364591882,6.0442683760440549e-12,6.0442683760440549e-12,6.0442683760440549e-12,1.1868172289687492e-11,1.7109685811966588e-11,1.4939361812885869e-05,1.4939361812885869e-05,1.4939361812885869e-05,1.0282337028905266e-05,1.4473659334487808e-05,5.9267510377604392e-07,5.9267510377604392e-07,5.9267510377604392e-07,1.083332782311767e-06,1.5249246929939176e-06,98055.722695084391,98055.722695084391,88965.842265089872,93510.782480087131,97601.228673584672,6044.2683760440541,592675103.77604389,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9539884370589525e-15,-2.0020755730962653e-13
